Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9932537636357153,0.01536406883713371,0.5400311972138411,0.5304608063533635,20.377196504263914,0.614847529390279
2,1.0028804453404363,0.009879749582377736,0.6208707789461055,0.6228395581673719,21.862350261946645,0.6425385699552648
3,1.0033805487969678,0.00907389968142895,0.6409120747714699,0.6435030904501499,20.757624740736297,0.6542158517416786
4,1.0003412579919049,0.008883950135218883,0.5154362450531143,0.5147229477673948,22.97400110296045,0.6661965088283315
5,0.9998984511312611,0.008812410014118264,0.4882771953958237,0.48525756633210326,22.88714006710127,0.6723448578049155
6,0.9998107985536495,0.0086052031442523,0.15102850078716687,0.14946610505167807,22.81124710443118,0.6766948594065274
7,1.0000011003231575,0.008649049463743222,6.859607632335167e-07,1.3511777938490704e-06,23.10406369143344,0.6766118125354542
8,0.9999995136832048,0.008494984779038471,2.8847608297334335e-06,2.56084293571308e-06,23.082164889340852,0.6784602200984955
9,0.99999999954315,0.008429532892065134,3.6911842514352797e-09,3.541061092570561e-09,23.265887000633715,0.6764794334243326
10,0.9999999947462254,0.008484306952798974,1.706311160246645e-08,1.2053627806133417e-08,23.15170679175599,0.6837799702672397
11,0.9999999862945008,0.00832924613227209,2.2923458658106642e-08,8.805320673985414e-09,23.372740672747298,0.6838506440555349
12,1.000000015076049,0.008211075573891937,1.5596961008233852e-09,1.664693350627012e-08,23.34590530241094,0.6825404678372776
13,0.9999999990863001,0.008142673575101855,2.5925870732896655e-09,1.794894430112046e-09,23.45595185986181,0.6894396283346064
14,1.000000000228425,0.008154979071574297,1.81112808349878e-09,1.8014974240236612e-09,23.35254365617772,0.6863387544014875
15,0.9999999979441752,0.008098015135187589,5.660345604395977e-09,3.4754843715598777e-09,23.286270582022635,0.6922593908450183
16,1.0000000137054992,0.007979097243420736,8.000100509496455e-09,2.05699975843468e-08,23.450539104845287,0.6928456287524279
17,1.00000000137055,0.007943737127645288,1.8963678805940354e-09,3.238572813743814e-09,23.479434774099417,0.6946514163998997
18,1.0000000799487452,0.007840596157722843,2.7126248046341117e-08,8.850996184888371e-08,23.56281833424049,0.693713995849385
19,1.00000000045685,0.007868926374096714,8.265438337443077e-10,1.1359083871883719e-09,23.412245897070598,0.6923099665782031
20,1.0000000054821996,0.007856424955461553,7.396305828994363e-09,1.2921564662265931e-08,23.587654550117012,0.6908402466072756
21,1.00000000045685,0.027755363086561957,1.6977994543435557e-09,2.3241913747221703e-09,9.944278740585709,0.3548073211136986
22,1.0000000146191992,0.015734027909884554,2.7535336940169427e-09,1.684173286339142e-08,21.639543837282762,0.6032558738834718
